subject,weight_kg_,height_m_,raw_peak_forces,raw_rms_forces,raw_peak_moments,raw_rms_moments,mass_normalized_peak_forces,mass_normalized_rms_forces,mass_normalized_peak_moments,mass_normalized_rms_moments,kinetic_normalized_peak_forces,kinetic_normalized_rms_forces,kinetic_normalized_peak_moments,kinetic_normalized_rms_moments
subject01,72.84,1.768,5.05733375907932,2.75375472899771,50.2399616237052,25.5498204906953,0.0694307215689089,0.03780552895384,0.689730390221104,0.350766343913994,0.00276286776280233,0.00150478174548576,0.0269031790677923,0.013646773171123
subject02,76.48,1.819,9.65167352447978,4.49405222724026,63.9623020825185,33.1117437779629,0.126198660100416,0.0587611431386017,0.836327171581047,0.43294644061144,0.00550083601303906,0.00255470637075142,0.0352669085089881,0.0180838168527652
subject03,64,1.783,9.81501970787068,4.98819872768361,57.3331896591367,29.7212863955295,0.153359682935479,0.0779406051200564,0.895831088424011,0.464395099930149,0.00645883494028063,0.00332069456153843,0.0341658180669726,0.0177424678047165
subject04,80.47,1.772,6.72171846407089,3.33536993214263,64.1662286558728,38.6381565435164,0.0835307377167999,0.0414486135471931,0.797393173305242,0.48015604005861,0.00358763213676512,0.00177439591402839,0.0332707791412092,0.0199981964000041
subject08,82.37,1.789,9.63035456350971,5.05412090028049,57.9738040106714,30.4857949513754,0.116915801426608,0.061358758046382,0.703821828465113,0.370107987754952,0.0045771558585262,0.00241572103060952,0.0267343855307992,0.014151883836282
subject10,69.26,1.703,11.9860893516606,5.84605184143176,73.2304929735499,33.1379606478776,0.17305933225037,0.084407332391449,1.05732736028804,0.478457416226936,0.008093770832105,0.00397269342834157,0.0496726332144602,0.0221154719085464
subject11,69.35,1.735,8.77648892148037,4.47719580326688,61.5760590906274,29.5946247362133,0.126553553301808,0.0645594203787581,0.887902798711281,0.426742966636097,0.00570533045059851,0.00291332697664363,0.0386627906508898,0.0186221703504457
subject17,68.45,1.68,11.4846078292048,5.18401898117596,60.9853410767202,28.7667814066026,0.167780976321472,0.0757343897907372,0.890947276504312,0.42025977219288,0.0064962215393702,0.00294057070474685,0.0341322692102279,0.0160224093357574
subject19,65.14,1.718,9.87802474020058,4.40640853915607,49.0704782080275,28.0070706884727,0.151642995704645,0.0676452032415731,0.753307924593605,0.429951960216038,0.00556458789359339,0.00247448586990525,0.0261325677095053,0.0149716854231745
subject20,67.18,1.669,9.58339278282555,4.85350396701203,55.4960609279676,27.8713752280505,0.142652467740779,0.0722462632779402,0.826080097171295,0.414876082584855,0.00585426358017538,0.00297477700484342,0.0325079340110076,0.0163167371081804
