subjectID,raw_peak_forces,raw_rms_forces,raw_peak_moments,raw_rms_moments,mass_normalized_peak_forces,mass_normalized_rms_forces,mass_normalized_peak_moments,mass_normalized_rms_moments,kinetic_normalized_peak_forces,kinetic_normalized_rms_forces,kinetic_normalized_peak_moments,kinetic_normalized_rms_moments
subject2,1213.5070439296244,233.42500967943997,577.6346634953532,110.7190059515241,15.517992889125626,2.9849745483304346,7.386632525516026,1.4158440658762672,0.5264144117835551,0.10519630207472386,0.2288589386110294,0.045432475694063876
subject3,523.2879156641942,166.75982008647125,153.63526087918655,52.40124817283629,8.240754577388888,2.6261388989995473,2.419452927231284,0.8252165066588388,0.3457571975987871,0.10394347695708368,0.08909017430926174,0.03055834910398198
subject4,3192.582167085861,630.4671398378284,1370.2412707197254,298.03138666159936,50.99971512916709,10.071360061307162,21.88883819041095,4.7608847709520665,1.7323801167831472,0.3539731220070261,0.7159824104262785,0.16157346684774815
subject5,2946.477773820003,601.855321490775,967.5295703491064,226.17265775498043,37.10929186171288,7.580041832377518,12.185510961575645,2.848522137972046,1.093209695048518,0.2350919112548264,0.30552642197845736,0.07326999279533115
subject6,607.9267105490026,168.07769247970492,280.969417094612,70.24386438158805,10.303842551678008,2.8487744488085585,4.762193510078169,1.1905739725692892,0.39902527275742905,0.11077334067032236,0.16151441203695963,0.04163537058034201
subject7,781.807032222759,210.47334157148893,383.8228796540646,81.22105722949652,12.774624709522206,3.4391068884230216,6.271615680621969,1.327141457998309,0.5023357132866225,0.13883882323042301,0.21612699245022268,0.04993727565934686
subject8,1168.6704786766563,254.01556561177344,421.57378745959255,86.18500870311689,19.67458718310869,4.276356323430529,7.0972018090840505,1.4509260724430455,0.7243970035431209,0.17589438085506495,0.2501464850336151,0.05699691553590883
subject9,653.195638934479,182.38376529589308,174.10652533828278,54.218375982739644,8.628740276545297,2.40929676744905,2.299954099581014,0.7162268954126769,0.4968028398996581,0.13716778881382813,0.11101533272086937,0.03374224421164839
subject10,565.3381190769869,181.5701143694956,211.63714415097903,65.38322711683676,9.422301984616448,3.026168572824926,3.52728573584965,1.0897204519472796,0.4700769258681551,0.14531849183321285,0.16352330725592404,0.052046694347821325
subject11,1541.6057188725626,398.7178535694962,721.1106888668104,171.89710478284454,16.59424885761639,4.291903698272294,7.7622248532487665,1.8503455843147962,0.6230354905329483,0.1620511922678381,0.26124806745843115,0.0643142096955875
